epoch,acc,loss,lr,val_acc,val_loss
0,0.3,9.320413398742676,0.0004,0.4895833333333333,6.53496519724528
1,0.4479166666666667,6.940422471364339,0.0004,0.5572916666666666,4.930764476458232
2,0.51875,6.335315942764282,0.0004,0.625,3.7715086936950684
3,0.5729166666666666,5.171388753255209,0.0004,0.7291666666666666,2.6655502716700235
4,0.6208333333333333,4.093705670038859,0.0004,0.75,2.48938379685084
5,0.65625,3.844023601214091,0.0004,0.7916666666666666,1.9466307560602825
6,0.68125,3.2254807790120443,0.0004,0.8125,1.6697091261545818
7,0.7604166666666666,2.728152338663737,0.0004,0.7708333333333334,1.8598040342330933
8,0.7416666666666667,2.9603975137074787,0.0004,0.8072916666666666,1.4181726227204006
9,0.7895833333333333,2.043617856502533,0.0004,0.8229166666666666,1.2140735387802124
10,0.7708333333333334,2.0851240158081055,0.0004,0.8125,1.1532957007487614
11,0.8291666666666667,1.4832856416702271,0.0004,0.8541666666666666,1.118204524119695
12,0.8375,1.6254405856132508,0.0004,0.8177083333333334,1.342024068037669
13,0.8541666666666666,1.264347493648529,0.0004,0.875,1.1621089031298955
14,0.875,0.9478553305069606,0.0004,0.890625,0.532633642355601
15,0.8979166666666667,0.7298754599566261,0.0004,0.8958333333333334,0.607528381049633
16,0.90625,0.7899509812394778,0.0004,0.890625,0.5202129160364469
17,0.8833333333333333,0.8491108027597268,0.0004,0.828125,1.1118047535419464
18,0.8854166666666666,0.8752001677950223,0.0004,0.8697916666666666,1.1537423233191173
19,0.9104166666666667,0.7308578536535303,0.0004,0.8229166666666666,1.5173198978106182
20,0.9375,0.5000593283388298,0.0004,0.8802083333333334,0.7903187771638235
21,0.8979166666666667,0.8165472567081451,0.0004,0.9270833333333334,0.5005334503948689
22,0.9291666666666667,0.590716476738453,0.0004,0.9010416666666666,0.8576757442206144
23,0.9416666666666667,0.40595832767430695,0.0004,0.8958333333333334,0.8779679760336876
24,0.9395833333333333,0.36041525900363924,0.0004,0.8958333333333334,0.604518194993337
25,0.925,0.6055137051730223,0.0004,0.859375,0.9218095143636068
26,0.9395833333333333,0.4579031669224302,0.0004,0.8802083333333334,0.8801974455515543
27,0.94375,0.31549960271222516,0.0004,0.8958333333333334,0.6332811568475639
28,0.95625,0.3486906585107363,0.0004,0.8802083333333334,0.9548940720657507
29,0.9458333333333333,0.31957676623327036,0.0004,0.9010416666666666,0.6932275046904882
30,0.9708333333333333,0.22513207682641223,0.0004,0.9479166666666666,0.5853354732195536
31,0.9416666666666667,0.3981385753490031,0.0004,0.9479166666666666,0.3064564714829127
32,0.95625,0.27524300814887587,0.0004,0.9427083333333334,0.4348516048242648
33,0.95,0.4296137013414409,0.0004,0.890625,0.7807900284727415
34,0.9520833333333333,0.30205849583726374,0.0004,0.890625,0.7986136277516683
35,0.9625,0.24254765134925643,0.0004,0.90625,0.8438462515672048
36,0.9645833333333333,0.24062591480324044,0.0004,0.9010416666666666,0.6817406894018253
37,0.9666666666666667,0.1304442636736591,0.0004,0.90625,0.51810647539484
38,0.95625,0.328458468565583,0.0004,0.8958333333333334,0.7538220683733622
39,0.975,0.20499534071665645,0.0004,0.9114583333333334,0.6646977992107471
40,0.9833333333333333,0.07908340947081645,0.0004,0.9166666666666666,0.8204367260138193
41,0.9604166666666667,0.22605740769892388,0.0004,0.953125,0.4677757403405849
